Bulan,Kurs RP USD,IHSG,Uang Beredar,UMUM,IHK,Suku Bunga,Kredit
0,2019-01-01,14460.0,6532.969238,5644985.0,2.47990047449848,132.37,6.0,11.72
1,2019-02-01,13931.599609,6443.348145,5670778.0,2.67199322894253,132.26,6.0,11.68
2,2019-03-01,14195.5,6468.754883,5747247.0,2.37257564562176,132.6,6.0,11.64
3,2019-04-01,14233.0,6455.352051,5746732.0,2.6108779083644,133.21,6.0,11.62
4,2019-05-01,14286.0,6209.117188,5860509.0,3.11878865445128,133.77,6.0,11.57
5,2019-06-01,14399.0,6358.628906,5908509.0,3.15656882318171,134.1,6.0,11.57
6,2019-07-01,14121.0,6390.504883,5941133.0,4.06507273822176,134.17,5.75,11.55
7,2019-08-01,14165.0,6328.470215,5934562.0,3.36699267005958,134.27,5.5,11.55
8,2019-09-01,14264.0,6169.102051,6134178.0,3.22749006085181,134.18,5.25,11.53
9,2019-10-01,14221.900391,6228.316895,6026908.0,2.02896022413941,134.42,5.0,11.51
10,2019-11-01,14126.0,6011.830078,6074377.0,1.44943469542329,134.84,5.0,11.49
11,2019-12-01,14081.310547,6299.539063,6136552.0,1.19872746968161,135.46,5.0,11.62
12,2020-01-01,13862.0,5940.047852,6046651.0,2.44393072745755,104.91,5.0,11.43
13,2020-02-01,13762.299805,5452.704102,6116495.0,3.58339182600739,105.33,4.75,11.41
14,2020-03-01,14311.5,4538.930176,6440457.39,2.61182246460959,105.4,4.5,11.37
15,2020-04-01,16395.5,4716.402832,6238267.0,1.42214469079043,105.15,4.5,11.29
16,2020-05-01,15252.799805,4753.611816,6468193.5,1.09040794682852,105.38,4.5,11.22
17,2020-06-01,14540.712891,4905.39209,6393743.8,0.467464291709961,105.46,4.25,11.2
18,2020-07-01,14604.200195,5149.626953,6567725.02,-0.281322082711838,105.38,4.0,11.16
19,2020-08-01,14697.0,5238.486816,6726135.25,0.381541075235527,105.34,4.0,11.13
20,2020-09-01,14599.700195,4870.039063,6748574.03,0.993057865472878,105.37,4.0,11.1
21,2020-10-01,14857.0,5128.225098,6780844.54,1.74536128925842,105.45,4.0,11.05
